model_alias,model_id,instruction_variant,corpus_config,corpus_description,corpus_template,summary_generator,summary_generator_model_id,generator_prompt_variant,exp_id,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,run_id,stage_status,error,remote_result_dir
Llama-Embed-Nemotron-8B,nvidia/llama-embed-nemotron-8b,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.030115,0.061816,0.043386,0.046582,0.064047,0.095484,0.184531,0.296457,0.481637,0.604666,0.028443,0.082335,0.107784,0.404192,Llama-Embed-Nemotron-8B__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GritLM-7B,GritLM/GritLM-7B,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GritLM-7B__no_instr__raw,error,load_error: 'MistralConfig' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GritLM-7B,GritLM/GritLM-7B,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GritLM-7B__general__raw,error,load_error: 'MistralConfig' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GritLM-7B,GritLM/GritLM-7B,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GritLM-7B__moral_specific__raw,error,load_error: 'MistralConfig' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GritLM-7B,GritLM/GritLM-7B,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GritLM-7B__default__raw,error,load_error: 'MistralConfig' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
EmbeddingGemma-300M,google/embeddinggemma-300m,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EmbeddingGemma-300M__no_instr__raw,error,"load_error: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/google/embeddinggemma-300m.
401 Client Error. (Request ID: Root=1-6a0a111c-112433e53a6eccc057f78dca;77df",/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
EmbeddingGemma-300M,google/embeddinggemma-300m,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EmbeddingGemma-300M__general__raw,error,"load_error: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/google/embeddinggemma-300m.
401 Client Error. (Request ID: Root=1-6a0a111c-112433e53a6eccc057f78dca;77df",/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
EmbeddingGemma-300M,google/embeddinggemma-300m,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EmbeddingGemma-300M__moral_specific__raw,error,"load_error: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/google/embeddinggemma-300m.
401 Client Error. (Request ID: Root=1-6a0a111c-112433e53a6eccc057f78dca;77df",/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
KaLM-Gemma3-12B,tencent/KaLM-Embedding-Gemma3-12B-2511,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KaLM-Gemma3-12B__no_instr__raw,error,load_error: Cannot copy out of meta tensor; no data! Please use torch.nn.Module.to_empty() instead of torch.nn.Module.to() when moving module from meta to a different device.,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
KaLM-Gemma3-12B,tencent/KaLM-Embedding-Gemma3-12B-2511,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KaLM-Gemma3-12B__general__raw,error,load_error: Cannot copy out of meta tensor; no data! Please use torch.nn.Module.to_empty() instead of torch.nn.Module.to() when moving module from meta to a different device.,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
KaLM-Gemma3-12B,tencent/KaLM-Embedding-Gemma3-12B-2511,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KaLM-Gemma3-12B__moral_specific__raw,error,load_error: Cannot copy out of meta tensor; no data! Please use torch.nn.Module.to_empty() instead of torch.nn.Module.to() when moving module from meta to a different device.,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFR-Embedding-Mistral__no_instr__raw,error,"load_error: CUDA out of memory. Tried to allocate 112.00 MiB. GPU 0 has a total capacity of 23.59 GiB of which 112.12 MiB is free. Process 1708453 has 968.00 MiB memory in use. Including non-PyTorch memory, this ",/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFR-Embedding-Mistral__general__raw,error,"load_error: CUDA out of memory. Tried to allocate 112.00 MiB. GPU 0 has a total capacity of 23.59 GiB of which 112.12 MiB is free. Process 1708453 has 968.00 MiB memory in use. Including non-PyTorch memory, this ",/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFR-Embedding-Mistral__moral_specific__raw,error,"load_error: CUDA out of memory. Tried to allocate 112.00 MiB. GPU 0 has a total capacity of 23.59 GiB of which 112.12 MiB is free. Process 1708453 has 968.00 MiB memory in use. Including non-PyTorch memory, this ",/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Stella-1.5B,NovaSearch/stella_en_1.5B_v5,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stella-1.5B__no_instr__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Stella-1.5B,NovaSearch/stella_en_1.5B_v5,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stella-1.5B__general__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Stella-1.5B,NovaSearch/stella_en_1.5B_v5,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stella-1.5B__moral_specific__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Stella-1.5B,NovaSearch/stella_en_1.5B_v5,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stella-1.5B__default__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Lychee-Embed,vec-ai/lychee-embed,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.087358,0.132128,0.113174,0.124077,0.159755,0.19254,0.329591,0.436203,0.603019,0.728244,0.082335,0.170659,0.215569,0.535928,Lychee-Embed__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Lychee-Embed,vec-ai/lychee-embed,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.090095,0.136992,0.117044,0.119785,0.165619,0.190918,0.339446,0.457909,0.629266,0.751921,0.086826,0.169162,0.224551,0.556886,Lychee-Embed__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Lychee-Embed,vec-ai/lychee-embed,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.062646,0.109133,0.088712,0.089571,0.132111,0.159057,0.286178,0.405489,0.555888,0.668962,0.056886,0.140719,0.20509,0.510479,Lychee-Embed__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
TART-dual-contriever,orionweller/tart-dual-contriever-msmarco,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.070167,0.102506,0.092497,0.095284,0.142864,0.168114,0.306737,0.41497,0.59239,0.707635,0.055389,0.127246,0.188623,0.51497,TART-dual-contriever__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
TART-dual-contriever,orionweller/tart-dual-contriever-msmarco,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.058531,0.085472,0.081931,0.090569,0.141118,0.172231,0.283383,0.371282,0.54733,0.671432,0.038922,0.118263,0.182635,0.471557,TART-dual-contriever__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
TART-dual-contriever,orionweller/tart-dual-contriever-msmarco,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.040116,0.063007,0.05382,0.052894,0.085953,0.118313,0.214621,0.318363,0.473653,0.618089,0.031437,0.070359,0.115269,0.420659,TART-dual-contriever__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
TART-dual-contriever,orionweller/tart-dual-contriever-msmarco,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.055318,0.084967,0.075827,0.089247,0.121981,0.143738,0.26764,0.370509,0.536427,0.661826,0.038922,0.118263,0.164671,0.473054,TART-dual-contriever__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
DRAMA-1B,facebook/drama-1b,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.071915,0.103145,0.095275,0.095559,0.151248,0.179716,0.326547,0.474077,0.626272,0.742041,0.053892,0.121257,0.191617,0.579341,DRAMA-1B__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
DRAMA-1B,facebook/drama-1b,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.032677,0.051527,0.045086,0.048653,0.076946,0.105938,0.21981,0.343039,0.517066,0.633733,0.022455,0.055389,0.098802,0.429641,DRAMA-1B__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
DRAMA-1B,facebook/drama-1b,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.03143,0.051858,0.041367,0.046407,0.06275,0.08725,0.181537,0.298902,0.470384,0.608358,0.026946,0.058383,0.083832,0.386228,DRAMA-1B__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
DRAMA-1B,facebook/drama-1b,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.075264,0.110902,0.101075,0.108308,0.15978,0.19511,0.363623,0.499027,0.674451,0.76754,0.058383,0.142216,0.214072,0.606287,DRAMA-1B__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Contriever,facebook/contriever,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.070159,0.10081,0.096512,0.116093,0.159232,0.189022,0.310903,0.439346,0.614646,0.718987,0.047904,0.152695,0.208084,0.546407,Contriever__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Contriever,facebook/contriever,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.055871,0.078407,0.075457,0.082485,0.125749,0.148703,0.259656,0.367889,0.537375,0.647206,0.038922,0.10479,0.161677,0.458084,Contriever__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Contriever,facebook/contriever,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.032987,0.054932,0.047906,0.048503,0.084032,0.107485,0.202146,0.309057,0.467665,0.598802,0.022455,0.064371,0.110778,0.404192,Contriever__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.067254,0.096296,0.092906,0.10227,0.15726,0.187375,0.346906,0.463099,0.634207,0.748204,0.041916,0.128743,0.197605,0.571856,all-mpnet-base-v2__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.027121,0.042494,0.039456,0.041667,0.073079,0.087101,0.190145,0.312126,0.47016,0.626547,0.011976,0.049401,0.092814,0.404192,all-mpnet-base-v2__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0173,0.031187,0.026413,0.032285,0.051223,0.065569,0.156562,0.254042,0.435379,0.589721,0.007485,0.038922,0.067365,0.344311,all-mpnet-base-v2__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.067758,0.095177,0.089384,0.091417,0.141841,0.16754,0.273628,0.386277,0.550574,0.673353,0.052395,0.116766,0.179641,0.482036,all-MiniLM-L6-v2__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.045654,0.066892,0.06211,0.069661,0.102295,0.129242,0.224651,0.327745,0.470284,0.598378,0.028443,0.086826,0.127246,0.408683,all-MiniLM-L6-v2__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.027735,0.04499,0.041325,0.053019,0.074326,0.094835,0.164047,0.272355,0.429316,0.55731,0.010479,0.071856,0.10479,0.359281,all-MiniLM-L6-v2__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
