model_alias,model_hf_id,model_size,instruction_variant,query_instruction,corpus_config,corpus_description,corpus_template,MRR@10,R@1,R@5,R@10,NDCG@10,Mean_Rank,Median_Rank,n_queries,notes
BGE-M3,BAAI/bge-m3,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.20214,0.12835,0.272214,0.356841,0.229868,118.74,38.0,709,
BGE-M3,BAAI/bge-m3,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.223197,0.163611,0.277856,0.325811,0.239316,148.57,50.0,709,
BGE-M3,BAAI/bge-m3,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.216154,0.141044,0.297602,0.362482,0.242337,123.57,37.0,709,
Instructor-base,hkunlp/instructor-base,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.085339,0.045134,0.105783,0.167842,0.095606,186.94,118.0,709,
Instructor-base,hkunlp/instructor-base,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.215036,0.133992,0.28914,0.366714,0.241146,104.13,27.0,709,
Instructor-base,hkunlp/instructor-base,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.214098,0.132581,0.280677,0.369535,0.240606,96.73,29.0,709,
Instructor-base,hkunlp/instructor-base,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.229554,0.146685,0.320169,0.382228,0.255551,93.48,25.0,709,
Instructor-base,hkunlp/instructor-base,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.235009,0.163611,0.301834,0.363893,0.256606,120.87,34.0,709,
Instructor-base,hkunlp/instructor-base,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.230136,0.148096,0.306065,0.401975,0.261106,98.15,23.0,709,
E5-base-v2,intfloat/e5-base-v2,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.084113,0.045134,0.105783,0.149506,0.089904,193.88,120.0,709,
E5-base-v2,intfloat/e5-base-v2,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.174436,0.111425,0.232722,0.308886,0.196667,135.67,53.0,709,
E5-base-v2,intfloat/e5-base-v2,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.178844,0.108604,0.244006,0.299013,0.198192,132.6,52.0,709,
E5-base-v2,intfloat/e5-base-v2,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.186593,0.122708,0.245416,0.310296,0.206436,132.88,48.0,709,
E5-base-v2,intfloat/e5-base-v2,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.226524,0.1622,0.280677,0.338505,0.243629,132.94,40.0,709,
E5-base-v2,intfloat/e5-base-v2,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.25494,0.173484,0.341326,0.411848,0.284209,107.94,25.0,709,
