model_alias,model_id,experiment_id,run_id,task_direction,corpus_config,doc_template,query_instruction_variant_original,query_instruction_group,query_instruction_text,doc_prefix,summary_generator,summary_model_id,summary_prompt_variant,eval_n,old_mrr_at_10,old_r_at_1,old_r_at_5,old_r_at_10,artifact_available,artifact_depth,can_recalculate_from_artifact,needs_model_rerun,notes,source_file
gte-qwen2-7b,Alibaba-NLP/gte-Qwen2-7B-instruct,exp_02,gte-qwen2-7b__general,moral_to_fable,raw,{fable},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.044619,0.019746,0.052186,0.077574,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
gte-qwen2-7b,Alibaba-NLP/gte-Qwen2-7B-instruct,exp_02,gte-qwen2-7b__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.014980,0.004231,0.011283,0.019746,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
GTE-Qwen2-7B,Alibaba-NLP/gte-Qwen2-7B-instruct,exp_11,GTE-Qwen2-7B,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {summary},default,model_default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.\nQuery: ",,Gemini/Gemma summary field,,existing_summary_field,,,,,,error_result,,no,yes,'Qwen2Config' object has no attribute 'rope_theta',experiments/11_embedding_baselines/results/2026-04-27_15-14-24_GTE-Qwen2-7B.json
instructor-base,hkunlp/instructor-base,exp_02,instructor-base__general,moral_to_fable,raw,{fable},general,general,Represent the text for retrieval:,Represent the passage:,,,,709,0.084896,0.040903,0.111425,0.167842,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
instructor-base,hkunlp/instructor-base,exp_02,instructor-base__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.087654,0.040903,0.119887,0.177715,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
instructor-base,hkunlp/instructor-base,exp_02,instructor-base__specific,moral_to_fable,raw,{fable},specific,specific,Represent the moral for retrieving a fable:,Represent the fable:,,,,709,0.073340,0.036671,0.087447,0.128350,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__fable_abstract__default,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},default,model_default,Represent the moral statement for retrieving relevant fables: ,,Gemini,,conceptual_abstract,709,0.232844,0.143865,0.330042,0.400564,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__fable_abstract__generic,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,conceptual_abstract,709,0.229554,0.146685,0.320169,0.382228,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__fable_cot__default,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},default,model_default,Represent the moral statement for retrieving relevant fables: ,,Gemini,,cot_proverb,709,0.220395,0.141044,0.296192,0.365303,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__fable_cot__generic,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.215036,0.133992,0.289140,0.366714,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__fable_direct__default,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},default,model_default,Represent the moral statement for retrieving relevant fables: ,,Gemini,,direct_moral,709,0.218020,0.133992,0.301834,0.377997,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__fable_direct__generic,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,direct_moral,709,0.214098,0.132581,0.280677,0.369535,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__raw__default,moral_to_fable,raw,{fable},default,model_default,Represent the moral statement for retrieving relevant fables: ,,,,,709,0.083859,0.040903,0.110014,0.166432,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__raw__generic,moral_to_fable,raw,{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.085339,0.045134,0.105783,0.167842,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__summary_fable_cot__default,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},default,model_default,Represent the moral statement for retrieving relevant fables: ,,Gemini,,cot_proverb,709,0.236561,0.150917,0.318759,0.392102,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__summary_fable_cot__generic,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.230136,0.148096,0.306065,0.401975,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__summary_only_cot__default,moral_to_fable,summary_only_cot,{cot_proverb},default,model_default,Represent the moral statement for retrieving relevant fables: ,,Gemini,,cot_proverb,709,0.242335,0.167842,0.308886,0.370945,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Instructor-base,hkunlp/instructor-base,exp_12,Instructor-base__summary_only_cot__generic,moral_to_fable,summary_only_cot,{cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.235009,0.163611,0.301834,0.363893,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
instructor-xl,hkunlp/instructor-xl,exp_02,instructor-xl__general,moral_to_fable,raw,{fable},general,general,Represent the text for retrieval:,Represent the passage:,,,,709,0.121256,0.071932,0.160790,0.214386,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
instructor-xl,hkunlp/instructor-xl,exp_02,instructor-xl__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.133228,0.073343,0.174894,0.239774,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
instructor-xl,hkunlp/instructor-xl,exp_02,instructor-xl__specific,moral_to_fable,raw,{fable},specific,specific,Represent the moral for retrieving a fable:,Represent the fable:,,,,709,0.115489,0.066291,0.153738,0.208745,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
KaLM-Gemma3-12B,tencent/KaLM-Embedding-Gemma3-12B-2511,exp_11,KaLM-Gemma3-12B,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {summary},default,model_default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.\nQuery: ",,Gemini/Gemma summary field,,existing_summary_field,,,,,,config_only,,no,yes,Fable+summary zero-shot embedding baseline.,experiments/11_embedding_baselines/config.yaml
Linq-Embed-Mistral,,exp_07,oracle__exp_07,moral_to_fable,fable_plus_ground_truth_moral,{fable}\n\nMoral: {ground_truth_moral},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,0,0.893000,0.827000,,,summaries_exist_aggregate_metrics,,no,eval_only,Actual annotated moral appended to fable - answer key cheat,docs/results_all_experiments.csv
linq-embed-mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_02,linq-embed-mistral__general,moral_to_fable,raw,{fable},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.210495,0.141044,0.282087,0.363893,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
linq-embed-mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_02,linq-embed-mistral__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.184208,0.117066,0.236953,0.301834,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
linq-embed-mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_02,linq-embed-mistral__specific,moral_to_fable,raw,{fable},specific,specific,"Instruct: Given a moral principle or lesson, retrieve the fable that illustrates it\nQuery: ",,,,,709,0.080086,0.036671,0.114245,0.153738,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,conceptual_abstract__fable_plus_summary,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {conceptual_abstract},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini API,,conceptual_abstract,709,0.349055,0.235543,0.469676,0.576869,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,cot_proverb__fable_plus_summary,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {cot_proverb},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini API,,cot_proverb,709,0.360134,0.252468,0.471086,0.575458,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,direct_moral__fable_plus_summary,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {direct_moral},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini API,,direct_moral,709,0.351789,0.236953,0.488011,0.575458,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,proverb__fable_plus_summary,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {proverb},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini API,,proverb,709,0.350828,0.239774,0.468265,0.572638,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,baseline_raw_fable,moral_to_fable,raw,{fable},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.209771,0.139633,0.282087,0.363893,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,conceptual_abstract__summary_only,moral_to_fable,summary_only,{conceptual_abstract},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini API,,conceptual_abstract,709,0.355457,0.265162,0.452750,0.554302,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,cot_proverb__summary_only,moral_to_fable,summary_only,{cot_proverb},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini API,,cot_proverb,709,0.304774,0.210155,0.403385,0.492243,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,direct_moral__summary_only,moral_to_fable,summary_only,{direct_moral},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini API,,direct_moral,709,0.336776,0.229901,0.437236,0.554302,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_07,proverb__summary_only,moral_to_fable,summary_only,{proverb},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini API,,proverb,709,0.278281,0.181946,0.390691,0.461213,summaries_exist_aggregate_metrics,,no,eval_only,Gemini-generated golden summaries; full 709.,experiments/07_sota_summarization_oracle/results/generation_runs/full_709/retrieval_results_all_variants.json
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_11,Linq-Embed-Mistral,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {summary},default,model_default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.\nQuery: ",,Gemini/Gemma summary field,,existing_summary_field,,,,,,config_only,,no,yes,Fable+summary zero-shot embedding baseline.,experiments/11_embedding_baselines/config.yaml
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__fable_abstract__default,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},default,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,conceptual_abstract,709,0.207749,0.128350,0.279267,0.373766,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__fable_abstract__generic,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,conceptual_abstract,709,0.348126,0.234133,0.465444,0.572638,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__fable_cot__default,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},default,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.211060,0.128350,0.291961,0.379408,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__fable_cot__generic,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.359747,0.251058,0.468265,0.578279,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__fable_direct__default,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},default,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,direct_moral,709,0.212461,0.128350,0.293371,0.392102,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__fable_direct__generic,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,direct_moral,709,0.350240,0.235543,0.482370,0.572638,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__raw__default,moral_to_fable,raw,{fable},default,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.095004,0.053597,0.121298,0.167842,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__raw__generic,moral_to_fable,raw,{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.210713,0.141044,0.283498,0.361072,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__summary_fable_cot__default,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},default,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.229335,0.142454,0.314528,0.404795,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__summary_fable_cot__generic,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.349903,0.236953,0.468265,0.572638,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__summary_only_cot__default,moral_to_fable,summary_only_cot,{cot_proverb},default,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.230353,0.156559,0.296192,0.377997,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_12,Linq-Embed-Mistral__summary_only_cot__generic,moral_to_fable,summary_only_cot,{cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.303064,0.210155,0.400564,0.489422,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemini__conceptual_abstract__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemini,,conceptual_abstract,709,0.348126,0.234133,0.465444,0.572638,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemini__cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemini,,cot_proverb,709,0.359747,0.251058,0.468265,0.578279,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemini__direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemini,,direct_moral,709,0.350240,0.235543,0.482370,0.572638,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemini__proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemini,,proverb,709,0.350732,0.239774,0.465444,0.571227,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__conceptual_abstract__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,conceptual_abstract,709,0.251252,0.162200,0.337094,0.416079,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,cot_proverb,709,0.251252,0.162200,0.337094,0.416079,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,direct_moral,709,0.251252,0.162200,0.337094,0.416079,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,proverb,709,0.251252,0.162200,0.337094,0.416079,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__thinking_cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,thinking_cot_proverb,709,0.251252,0.162200,0.337094,0.416079,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__thinking_direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,thinking_direct_moral,709,0.251252,0.162200,0.337094,0.416079,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__conceptual_abstract__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,conceptual_abstract,709,0.301458,0.200282,0.410437,0.499295,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,cot_proverb,709,0.269708,0.173484,0.365303,0.475317,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,direct_moral,709,0.290593,0.186178,0.403385,0.490832,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,proverb,709,0.278885,0.181946,0.372355,0.458392,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__thinking_cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,thinking_cot_proverb,709,0.251252,0.162200,0.337094,0.416079,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
