similarity,tier,moral_a,fable_a_id,fable_a_title,moral_b,fable_b_id,fable_b_title
0.8340,medium,The things that a person does to others will happen to him in turn.,fable_0395,The Goat And The Vine,Those who scheme against others may ultimately fall victim to their own plots.,fable_0402,The Roosters And The Hawk
0.8340,medium,Watch on all sides.,fable_0283,The Hunters And The Deer With One Eye,Be watchful or all will be lost.,fable_0605,The Shepherd and The Dog
0.8340,medium,Do not trust flatterers.,fable_0044,The Fox and the Crow,Do not trust the wicked.,fable_0121,The Abbot And The Flea
0.8339,medium,Persuasion is better than Force.,fable_0450,The North Wind And The Sun,"Where force is not enough, cleverness must be used instead.",fable_0512,The Lizard And The Snake
0.8339,medium,Consider carefully before changing your situation.,fable_0046,The Fox and the Hedgehog,Stay vigilant and think before you speak.,fable_0382,The Fox And The Partridge
0.8338,medium,Some people are so consumed by hatred that they would rather suffer themselves than see their enemies succeed.,fable_0343,The Two Enemies,People who do harm to others destroy themselves in the bargain.,fable_0390,The Frog And The Mouse
0.8337,medium,The man who talks for both sides is not to be trusted by either.,fable_0074,The Man and the Satyr,The word of a wicked man can never be trusted.,fable_0531,The Wolf And The Donkey
0.8337,medium,Beware of enterprizes where the risks are not equal.,fable_0397,The Swans And The Geese,Indulgence in luxuries can lead to peril.,fable_0516,The Mouse In The Pot
0.8337,medium,"Don't be seduced by deceptive words, they will cause nothing but trouble.",fable_0261,The Crane And The Crow,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer"
0.8337,medium,Do not play the wise man after the fact.,fable_0288,The Doctor At The Funeral,Do not try to gain favor by acting in a way that is contrary to your own nature and character.,fable_0294,The Donkey And The Pet Dog
0.8337,medium,Do not trust the wicked.,fable_0121,The Abbot And The Flea,You should think twice before offering anything to your enemies.,fable_0168,The Ax And The Trees
0.8336,medium,"One is known by deeds, not by words.",fable_0499,The Bear And The Fox,"True worth should be measured by character and deeds, not by outward appearances.",fable_0659,A Lapwing Preferr'd
0.8336,medium,You will only injure yourself if you take notice of despicable enemies.,fable_0012,The Bald Man and the Fly,An enemy in disguise is much more unforgivable than an open enemy.,fable_0687,A Sheep-Biter Hang'd
0.8336,medium,It is more honorable to die having achieved noble deeds than to live a life of vice.,fable_0661,A Horse and a Hog,"Many people give up their vices not out of a love for virtue, but because they can no longer continue indulging in them.",fable_0683,An Old Man resolv'd to give over Whoring
0.8334,medium,Success leads many astray to their ruin.,fable_0131,Aesop And The Hooligan,Pride and vanity leads to our downfall.,fable_0629,A Cuckow and a Hawk
0.8334,medium,A liar deceives no one but himself.,fable_0095,The Shipwrecked Impostor,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer"
0.8334,medium,Those who are not content with what they have may end up losing it while pursuing greater desires.,fable_0279,"The Lion, The Hare And The Deer",Beware those who value their gain more than their love.,fable_0635,A Wench parting with her Sweetheart
0.8334,medium,It is difficult to truly know a person.,fable_0496,Pompey And His Soldier,True friends are hard to come by.,fable_0694,A Man had a mind to try his Friends
0.8333,medium,Do not let anything turn you from your purpose.,fable_0421,"The Kid, The Wolf And The Flute",Do not let your fancy make you forget realities.,fable_0581,The Wolf and his Shadow
0.8333,medium,Do not believe those who have ill intentions.,fable_0291,"The Fox, The Lamb And The Dog",Do not try to do impossible things.,fable_0292,The Wolves And The Hides
0.8333,medium,A wicked person deservedly comes to a bad end by keeping company with other wicked people.,fable_0372,The Snake And The Thorn Bush,People who do harm to others destroy themselves in the bargain.,fable_0390,The Frog And The Mouse
0.8332,medium,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher","In avoiding a lesser danger, one may inadvertently fall into a greater peril.",fable_0281,The Deer And The Lion
0.8332,medium,Do not attempt the impossible.,fable_0183,The Frog And The Ox,Do not take on more than you can handle.,fable_0350,The Lion And The Farmer
0.8332,medium,Greed for more can lead to losing what you already have.,fable_0332,The Jackdaw And The Doves,A life of greed and hoarding wealth leads to misery.,fable_0333,The Fox And The Dragon
0.8331,medium,Pride goes before destruction.,fable_0338,The Two Roosters And The Eagle,Pride and vanity leads to our downfall.,fable_0629,A Cuckow and a Hawk
0.8331,medium,Deceivers often exploit the inability of others to challenge their falsehoods.,fable_0380,"The Fox, The Monkey And His Ancestors",Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.8331,medium,Even a high and mighty person should beware of his inferiors; their ingenuity can find a way to take revenge.,fable_0163,The Eagle And The Fox,People with excellent qualities are often insulted by their inferiors.,fable_0543,The Horse And The Goats
0.8331,medium,A wicked nature does not produce a good character.,fable_0165,"The Shepherd, The Wolf Cub And The Wolf","No mercy should be shown to someone who is wicked, regardless of whether his wickedness is great or small.",fable_0364,The Man And The Flea
0.8330,medium,Do not laugh at the calamity that befalls your neighbour.,fable_0210,The Blacksmiths And The Mouse,Take warning from the misfortunes of others.,fable_0379,"The Fox, The Lion And The Footprints"
0.8329,medium,You should not treat bad people the same way that you treat good people.,fable_0263,The Boy And The Scorpion,Do not try to gain favor by acting in a way that is contrary to your own nature and character.,fable_0294,The Donkey And The Pet Dog
0.8329,medium,"Don't be seduced by deceptive words, they will cause nothing but trouble.",fable_0261,The Crane And The Crow,Do not try to gain favor by acting in a way that is contrary to your own nature and character.,fable_0294,The Donkey And The Pet Dog
0.8329,medium,Luck often bestows the things that skill cannot obtain.,fable_0361,The Fishermen And The Tuna Fish,Chance sometimes rules.,fable_0378,The Fox And The Lion In A Cage
0.8329,medium,Enemies' promises were made to be broken.,fable_0082,The Nurse and the Wolf,An alliance made with the high and mighty can never be trusted.,fable_0257,"The Lion, The Cow, The She-Goat And The Sheep"
0.8328,medium,True value is wasted on those who cannot appreciate it.,fable_0167,The Rooster And The Pearl,Outside show is a poor substitute for inner worth.,fable_0370,The Fox And The Mask
0.8328,medium,"We have to endure reversals of fortune, since we know that life is a matter of luck.",fable_0360,The Fishermen And The Stone,Luck often bestows the things that skill cannot obtain.,fable_0361,The Fishermen And The Tuna Fish
0.8328,medium,Do not trust the wicked.,fable_0121,The Abbot And The Flea,Better to face a known danger than to trust a deceitful promise of safety.,fable_0582,The Wolf and the Sheep in the Sheepfold
0.8328,medium,"No mercy should be shown to someone who is wicked, regardless of whether his wickedness is great or small.",fable_0364,The Man And The Flea,The word of a wicked man can never be trusted.,fable_0531,The Wolf And The Donkey
0.8328,medium,Someone who plots against others falls into his own trap.,fable_0386,"The Wolf, The Fox And The Ailing Lion",People often make plans that turn out to be to their own disadvantage.,fable_0435,The Maids And The Rooster
0.8327,medium,Do not believe everything you hear.,fable_0486,The Wolf And The Nurse,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer"
0.8327,medium,Do not try to do impossible things.,fable_0292,The Wolves And The Hides,Do not try to gain favor by acting in a way that is contrary to your own nature and character.,fable_0294,The Donkey And The Pet Dog
0.8327,medium,"You must not act unnaturally, trying to achieve some impossible thing.",fable_0264,The Donkey And The Cricket,Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle
0.8327,medium,One should never trust those with a history of deceit.,fable_0459,The Wolf And The Shepherd,"The person who turns to a dishonest scoundrel for help in times of trouble will be ruined, not rescued.",fable_0538,The Doves And The Kite
0.8326,medium,"The person who turns to a dishonest scoundrel for help in times of trouble will be ruined, not rescued.",fable_0538,The Doves And The Kite,Trusting as you wish to be trusted doesn't work between a rogue and an honest person. ,fable_0628,A Pigeon and a Pye
0.8326,medium,Do no overestimate your worth when your fate rests in the hands of the high and the mighty.,fable_0143,The Clay Pot And The Rain,Do not ask for more than you deserve.,fable_0515,Mercury And The Two Women
0.8324,medium,Do not give up friends for foes.,fable_0312,"The Wolves, The Sheep And The Dogs",No one is so loving of a friend that they would not prefer their own good to that of another.,fable_0672,A Woman that would needs Die for her Husband
0.8324,medium,Do not take on more than you can handle.,fable_0350,The Lion And The Farmer,We should not pick fights with people stronger than we are.,fable_0688,A Bull and a Ram
0.8324,medium,Familiarity mollifies even the most terrifying things.,fable_0234,The Camel And The People,Familiarity can alleviate seemingly intractable problems.,fable_0467,The Rich Man And The Tanner
0.8323,medium,Greed can lead to ruin.,fable_0305,The Dog And The Treasure,"It is often the case that people are greedy for things which they think will bring them honour, but which only result in their death and destruction.",fable_0401,Jupiter And The Hare
0.8322,medium,Don't deceive yourself.,fable_0571,The Jackdaw and The Fox,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer"
0.8322,medium,Sometimes a small sacrifice results in a greater good.,fable_0126,The Hunted beaver,A small inconvenience is compensated for by a greater usefulness.,fable_0625,A Husband-man and Ceres
0.8320,medium,Do no overestimate your worth when your fate rests in the hands of the high and the mighty.,fable_0143,The Clay Pot And The Rain,Do not boast lest you be taken down.,fable_0598,The Lamp
0.8320,medium,We had better bear our troubles bravely than try to escape them.,fable_0357,"The Father, The Son And The Lion",Better to face a known danger than to trust a deceitful promise of safety.,fable_0582,The Wolf and the Sheep in the Sheepfold
0.8320,medium,One should never trust those with a history of deceit.,fable_0459,The Wolf And The Shepherd,Better to face a known danger than to trust a deceitful promise of safety.,fable_0582,The Wolf and the Sheep in the Sheepfold
0.8319,medium,Caution is far superior to reckless haste and hurry.,fable_0426,The Pigeon And The Painting,"When we are avoiding present dangers, we should not fall into even worse peril.",fable_0640,The Fishes and the Frying-Pan
0.8318,medium,A wicked person deservedly comes to a bad end by keeping company with other wicked people.,fable_0372,The Snake And The Thorn Bush,Even the favours of wicked people are frightening.,fable_0475,Zeus And The Snake
0.8316,medium,An alliance made with the high and mighty can never be trusted.,fable_0257,"The Lion, The Cow, The She-Goat And The Sheep",False men cannot be trusted.,fable_0473,The Shepherd And The Wolf Cub
0.8316,medium,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher",Better to face a known danger than to trust a deceitful promise of safety.,fable_0582,The Wolf and the Sheep in the Sheepfold
0.8315,medium,People who stubbornly cling to unwise choices lose everything before they know it.,fable_0389,The Two Frogs By The Road,People who grasp at more than they need lose the little that they held in their hands.,fable_0404,The Widow And Her Hen
0.8315,medium,True friends are hard to find.,fable_0173,Socrates And His Friends,We must make friends in prosperity if we would have their help in adversity.,fable_0528,The Kite And His Mother
0.8315,medium,Intent matters more than the outcome.,fable_0186,The Bald Man And The Fly,Action is more valuable than arguments.,fable_0612,The Jar goes to Court
0.8314,medium,Do not go chasing after things that are useless and unprofitable.,fable_0249,The Man And The Insect,"Do not trade what might come, which is uncertain, for present opportunities, which can never be regained.",fable_0654,A Fowler and a Chaffinch
0.8314,medium,A wicked person deservedly comes to a bad end by keeping company with other wicked people.,fable_0372,The Snake And The Thorn Bush,"A bad man can come to ruin, but he is able to harm many other people first.",fable_0544,The Man And The Sword
0.8314,medium,Do not trust the wicked.,fable_0121,The Abbot And The Flea,Expect no reward for serving the wicked.,fable_0182,The Wolf And The Crane
0.8314,medium,"Beware of swindlers, as they often exploit the gullibility of others.",fable_0255,The Cobbler And The King,Deceivers often exploit the inability of others to challenge their falsehoods.,fable_0380,"The Fox, The Monkey And His Ancestors"
0.8314,medium,People who grasp for more than they need are deprived of what they have.,fable_0235,Zeus And The Camel,"It is often the case that people are greedy for things which they think will bring them honour, but which only result in their death and destruction.",fable_0401,Jupiter And The Hare
0.8314,medium,You should not treat bad people the same way that you treat good people.,fable_0263,The Boy And The Scorpion,"People should not be judged by their appearances, but by their actions.",fable_0685,A Wolfe in a Sheeps-Skin
0.8313,medium,A liar deceives no one but himself.,fable_0095,The Shipwrecked Impostor,Don't deceive yourself.,fable_0571,The Jackdaw and The Fox
0.8313,medium,Do not take pride in the good qualities that actually belong to someone else.,fable_0307,The Wolf And The Dog In Pursuit,Do not boast lest you be taken down.,fable_0598,The Lamp
0.8313,medium,We should do favours for someone who can do us a good deed in return.,fable_0367,"The Man, The Mare And The Foal",The man who treats others well is rewarded by gratitude.,fable_0533,"The Snake, The Eagle And The Farmer"
0.8312,medium,Do not mock the gods.,fable_0156,The Man And The Oracle,We should not call upon the gods in trivial affairs but only in dire necessity.,fable_0176,"The Man, The Flea And Heracles"
0.8312,medium,The greatest kindness will not bind the ungrateful.,fable_0034,The Farmer and the Snake,You should not treat bad people the same way that you treat good people.,fable_0263,The Boy And The Scorpion
0.8311,medium,Caution is far superior to reckless haste and hurry.,fable_0426,The Pigeon And The Painting,A humble life free from danger is more valuable than a life of luxury filled with peril.,fable_0592,The Circus Dogs and the Street Dogs
0.8311,medium,You will only injure yourself if you take notice of despicable enemies.,fable_0012,The Bald Man and the Fly,Know your enemies.,fable_0562,The Cat and The Birds
0.8311,medium,Not all advice is wise.,fable_0466,The Rich Man And The Tanner,Do not believe everything you hear.,fable_0486,The Wolf And The Nurse
0.8310,medium,"It is better to be injured with impunity, than to put ourselves in the power of another.",fable_0548,The Horse and the Wild Boar,Better to face a known danger than to trust a deceitful promise of safety.,fable_0582,The Wolf and the Sheep in the Sheepfold
0.8310,medium,Do not try to do impossible things.,fable_0292,The Wolves And The Hides,Do not try to grasp too much at once.,fable_0347,The Kite And The Partridges
0.8310,medium,Some can do wrong more easily than others can see it.,fable_0314,The Wolf And The Raven,Some never understand the actions of others.,fable_0362,The Fisherman And The River
0.8309,medium,Some people are so consumed by hatred that they would rather suffer themselves than see their enemies succeed.,fable_0343,The Two Enemies,Some begrudge others what they cannot enjoy themselves.,fable_0483,The Dog In The Manger
0.8309,medium,Beware of enterprizes where the risks are not equal.,fable_0397,The Swans And The Geese,Avoid the gain that exposes to hazard.,fable_0554,The Man and the Ass
0.8308,medium,An alliance made with the high and mighty can never be trusted.,fable_0257,"The Lion, The Cow, The She-Goat And The Sheep",Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer"
0.8308,medium,Necessity is our strongest weapon.,fable_0051,The Hare and the Hound,Necessity is the mother of invention.,fable_0127,The Crow And The Water Jar
0.8308,medium,The greatest kindness will not bind the ungrateful.,fable_0034,The Farmer and the Snake,Favor those who do you kindness.,fable_0247,"The Two Men, The Eagle And The Fox"
0.8308,medium,Do not attempt to hide things which cannot be hid.,fable_0526,The Goatherd And The Goat,"Do not be what you are not, nor pretend to be what you are not",fable_0530,"The Farmers, The Donkey And The Lion Skin"
0.8307,medium,Do not trust the wicked.,fable_0121,The Abbot And The Flea,You should not treat bad people the same way that you treat good people.,fable_0263,The Boy And The Scorpion
0.8307,medium,Seek to harm and harm shall find you.,fable_0116,The Wolf in Sheep's Clothing,He who harms someone should henceforth be treated with suspicion.,fable_0353,The Snake And The Farmer
0.8307,medium,"Beware of swindlers, as they often exploit the gullibility of others.",fable_0255,The Cobbler And The King,People who offer to give someone many gifts are no doubt trying to deceive.,fable_0310,The Dog-Catcher And The Dog
0.8307,medium,Don't take your friends for foes.,fable_0194,The Bees And The Beekeeper,Do not believe those who have ill intentions.,fable_0291,"The Fox, The Lamb And The Dog"
0.8307,medium,The things that a person does to others will happen to him in turn.,fable_0395,The Goat And The Vine,What a person does through another is truly their own action.,fable_0651,A Run-away Dog and his Master
0.8306,medium,Do not try to do impossible things.,fable_0292,The Wolves And The Hides,Do not take on more than you can handle.,fable_0350,The Lion And The Farmer
0.8306,medium,Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle,Better to endure a small hardship than risk a greater one.,fable_0552,The Frogs asking for a King
0.8305,medium,Do not take on more than you can handle.,fable_0350,The Lion And The Farmer,Don't promise more than you can deliver.,fable_0662,A Hunts-man and a Currier
0.8305,medium,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",fable_0140,The Bird Catcher And The Viper,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher"
0.8304,medium,"You may share the labours of the great, but you will not share the spoil.",fable_0070,The Lion's Share,Do not take pride in the good qualities that actually belong to someone else.,fable_0307,The Wolf And The Dog In Pursuit
0.8304,medium,Do not believe those who have ill intentions.,fable_0291,"The Fox, The Lamb And The Dog",Do not be in a hurry to change one evil for another.,fable_0503,The Oxen And The Butcher
0.8303,medium,An alliance made with the high and mighty can never be trusted.,fable_0257,"The Lion, The Cow, The She-Goat And The Sheep",Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.8302,medium,A humble life free from danger is more valuable than a life of luxury filled with peril.,fable_0592,The Circus Dogs and the Street Dogs,"When we are avoiding present dangers, we should not fall into even worse peril.",fable_0640,The Fishes and the Frying-Pan
0.8302,medium,An alliance made with the high and mighty can never be trusted.,fable_0257,"The Lion, The Cow, The She-Goat And The Sheep",The word of a wicked man can never be trusted.,fable_0531,The Wolf And The Donkey
0.8301,medium,Do not take pride in the good qualities that actually belong to someone else.,fable_0307,The Wolf And The Dog In Pursuit,No one is so loving of a friend that they would not prefer their own good to that of another.,fable_0672,A Woman that would needs Die for her Husband
0.8301,medium,True friends are hard to find.,fable_0173,Socrates And His Friends,Seek the friendship of those who do not withdraw from offering help even in a time of adversity.,fable_0702,A Lion and a Hog
0.8301,medium,"Don't be seduced by deceptive words, they will cause nothing but trouble.",fable_0261,The Crane And The Crow,Do not harm your benefactors.,fable_0282,The Deer And The Vine
0.8301,medium,"Pay attention to deeds, not words.",fable_0534,The Bird Catcher And The Cricket,"True worth should be measured by character and deeds, not by outward appearances.",fable_0659,A Lapwing Preferr'd
0.8300,medium,"He that has many friends, has no friends.",fable_0053,The Hare With Many Friends,True friends are hard to come by.,fable_0694,A Man had a mind to try his Friends
0.8300,medium,Do not try to grasp too much at once.,fable_0347,The Kite And The Partridges,Don't go to extremes.,fable_0559,The Gardener and His Master
0.8300,medium,"Bad things naturally happen to bad people, while good things lie in wait for people who are honest and reasonable.",fable_0276,The Cyclops And His Treasure,The conflicts of the wicked are the protection of the good.,fable_0705,Pigeons Reconcile the Hawks
0.8300,medium,"There is satisfaction, however wretched, in taking one's enemy along if one has to die.",fable_0313,The Tuna Fish And The Dolphin,Some may choose mutual destruction over continued suffering.,fable_0474,The Snake And The Wasp
0.8298,medium,Better to endure a small hardship than risk a greater one.,fable_0552,The Frogs asking for a King,A humble life free from danger is more valuable than a life of luxury filled with peril.,fable_0592,The Circus Dogs and the Street Dogs
0.8298,medium,"He that has many friends, has no friends.",fable_0053,The Hare With Many Friends,True friends are hard to find.,fable_0173,Socrates And His Friends
0.8298,medium,Stay focused on your goals.,fable_0239,The Cat And The Stork,Do not let anything turn you from your purpose.,fable_0421,"The Kid, The Wolf And The Flute"
0.8297,medium,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer",Trusting as you wish to be trusted doesn't work between a rogue and an honest person. ,fable_0628,A Pigeon and a Pye
0.8296,medium,Believing your enemies makes you fall victim to their tricks and gets you into trouble.,fable_0229,"The Lion, The Bull And His Horns",Those who thrive on deception often retaliate against those who speak the truth.,fable_0429,The Monkeys And The Two Men
0.8296,medium,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher",Beware those who value their gain more than their love.,fable_0635,A Wench parting with her Sweetheart
0.8296,medium,"When wicked people do not get the reward and thanks they expect, they immediately put a stop to their good works.",fable_0355,The Wolves And The Harvesters,Many people renounce wicked activities only because they are prevented from conducting them any longer.,fable_0663,A Hermit and a Soldier
0.8296,medium,People who grasp for more than they need are deprived of what they have.,fable_0235,Zeus And The Camel,People who stubbornly cling to unwise choices lose everything before they know it.,fable_0389,The Two Frogs By The Road
0.8295,medium,"You must not act unnaturally, trying to achieve some impossible thing.",fable_0264,The Donkey And The Cricket,Don't go to extremes.,fable_0559,The Gardener and His Master
0.8295,medium,A little thing in hand is worth more than a great thing in prospect.,fable_0036,The Fisher and the Little Fish,People often grasp for more than they need and thus lose the little they have.,fable_0181,The Man And The Golden Eggs
0.8295,medium,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher",Do not try to gain favor by acting in a way that is contrary to your own nature and character.,fable_0294,The Donkey And The Pet Dog
0.8295,medium,Greed can lead to ruin.,fable_0305,The Dog And The Treasure,Beware of enterprizes where the risks are not equal.,fable_0397,The Swans And The Geese
0.8294,medium,People get themselves into trouble because of their boasting.,fable_0145,The Foxes At The River,Boast of one thing and you will be found lacking in that and a few other things as well.,fable_0439,The Mole And The Frankincense
0.8294,medium,People often grasp for more than they need and thus lose the little they have.,fable_0181,The Man And The Golden Eggs,People who stubbornly cling to unwise choices lose everything before they know it.,fable_0389,The Two Frogs By The Road
0.8294,medium,It is better to serve in safety than to rule in peril.,fable_0532,The Fox And The Lion Hunting,It is better to be loved than feared.,fable_0584,Winter and Spring
0.8294,medium,A wicked nature does not produce a good character.,fable_0165,"The Shepherd, The Wolf Cub And The Wolf","Nobody believes people who are inherently wicked, even if they pretend to be good-natured.",fable_0415,"The Wolf, The Horse And The Barley"
0.8293,medium,Do no overestimate your worth when your fate rests in the hands of the high and the mighty.,fable_0143,The Clay Pot And The Rain,Do not overestimate yourself.,fable_0484,The Goat And His Reflection
0.8293,medium,Better one safe way than a hundred on which you cannot reckon.,fable_0040,The Fox and the Cat,It is better to serve in safety than to rule in peril.,fable_0532,The Fox And The Lion Hunting
0.8293,medium,Do not trust the wicked.,fable_0121,The Abbot And The Flea,Trust is not to be given lightly.,fable_0296,The Wolves And The Dogs
0.8293,medium,"If you try to deceive someone who has his wits about him, you will waste your time and be made fun of as well.",fable_0265,The Dogs And The Crocodiles,"Clothes may disguise a fool, but his words will give him away.",fable_0316,"The Fox, The Donkey And The Lion Skin"
0.8292,medium,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher","When we are avoiding present dangers, we should not fall into even worse peril.",fable_0640,The Fishes and the Frying-Pan
0.8292,medium,Never put yourself in your enemy's clutches.,fable_0101,The Tortoise and the Birds,"It is better to be injured with impunity, than to put ourselves in the power of another.",fable_0548,The Horse and the Wild Boar
0.8292,medium,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",fable_0140,The Bird Catcher And The Viper,Believing your enemies makes you fall victim to their tricks and gets you into trouble.,fable_0229,"The Lion, The Bull And His Horns"
0.8292,medium,You should not treat bad people the same way that you treat good people.,fable_0263,The Boy And The Scorpion,"No mercy should be shown to someone who is wicked, regardless of whether his wickedness is great or small.",fable_0364,The Man And The Flea
0.8292,medium,Putting up with one insult invites another.,fable_0647,Town-Dogs and Country-Dogs,It's better to ignore an insult from one troublemaker than to bring a whole crowd of trouble upon yourself.,fable_0653,A Bear and Bees
0.8291,medium,Do not try to gain favor by acting in a way that is contrary to your own nature and character.,fable_0294,The Donkey And The Pet Dog,Do not be in a hurry to change one evil for another.,fable_0503,The Oxen And The Butcher
0.8291,medium,Those who thrive on deception often retaliate against those who speak the truth.,fable_0429,The Monkeys And The Two Men,Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.8290,medium,Do not try to gain favor by acting in a way that is contrary to your own nature and character.,fable_0294,The Donkey And The Pet Dog,"People should not be judged by their appearances, but by their actions.",fable_0685,A Wolfe in a Sheeps-Skin
0.8290,medium,"Beware of swindlers, as they often exploit the gullibility of others.",fable_0255,The Cobbler And The King,One should never trust those with a history of deceit.,fable_0459,The Wolf And The Shepherd
0.8290,medium,Some people are so consumed by hatred that they would rather suffer themselves than see their enemies succeed.,fable_0343,The Two Enemies,Some may choose mutual destruction over continued suffering.,fable_0474,The Snake And The Wasp
0.8290,medium,The greatest kindness will not bind the ungrateful.,fable_0034,The Farmer and the Snake,No one is so loving of a friend that they would not prefer their own good to that of another.,fable_0672,A Woman that would needs Die for her Husband
0.8289,medium,"It is better to be injured with impunity, than to put ourselves in the power of another.",fable_0548,The Horse and the Wild Boar,Better to endure a small hardship than risk a greater one.,fable_0552,The Frogs asking for a King
0.8289,medium,Don't go to extremes.,fable_0559,The Gardener and His Master,Don't be greedy.,fable_0565,The Swollen Fox
0.8289,medium,Do not trust flatterers.,fable_0044,The Fox and the Crow,False men cannot be trusted.,fable_0473,The Shepherd And The Wolf Cub
0.8288,medium,Do not trust the wicked.,fable_0121,The Abbot And The Flea,Trusting as you wish to be trusted doesn't work between a rogue and an honest person. ,fable_0628,A Pigeon and a Pye
0.8288,medium,Do not take pride in the good qualities that actually belong to someone else.,fable_0307,The Wolf And The Dog In Pursuit,"People should not be judged by their appearances, but by their actions.",fable_0685,A Wolfe in a Sheeps-Skin
0.8288,medium,"Bad things naturally happen to bad people, while good things lie in wait for people who are honest and reasonable.",fable_0276,The Cyclops And His Treasure,The bad things that strangers do to you are never as terrible as the things done to you by the members of your own family.,fable_0457,The Pine Tree And The Wedges
0.8288,medium,There is danger lurking in the words of a wicked person.,fable_0297,The Mother Dog And Her Puppies,He who harms someone should henceforth be treated with suspicion.,fable_0353,The Snake And The Farmer
0.8288,medium,Do not ask for more than you deserve.,fable_0515,Mercury And The Two Women,Respect is often better shown by refraining from disrespect.,fable_0588,Hermes and the Dog
0.8288,medium,They complain most who suffer least.,fable_0502,The Bulls And The Wagon,Complaining is the privilege of the weak.,fable_0693,A Creaking Wheel
0.8287,medium,"Bad things naturally happen to bad people, while good things lie in wait for people who are honest and reasonable.",fable_0276,The Cyclops And His Treasure,A wicked person deservedly comes to a bad end by keeping company with other wicked people.,fable_0372,The Snake And The Thorn Bush
0.8287,medium,Be cautious with promises made under duress.,fable_0237,"The Cat, The Mouse And The Oath",Be careful what you wish for; your wish may be granted.,fable_0431,The Shepherd And The Lion
0.8287,medium,Do not take credit for the accomplishments of others.,fable_0160,The Donkey Who Carried The God,Do not boast lest you be taken down.,fable_0598,The Lamp
0.8287,medium,"Don't be seduced by deceptive words, they will cause nothing but trouble.",fable_0261,The Crane And The Crow,Better to face a known danger than to trust a deceitful promise of safety.,fable_0582,The Wolf and the Sheep in the Sheepfold
0.8287,medium,Union is strength.,fable_0038,The Four Oxen and the Lion,"Unity is strength, while division invites defeat.",fable_0228,The Two Bulls And The Lion
0.8286,medium,Do not grasp at more than you need.,fable_0298,"The Dog, The Meat And The Reflection",Don't go to extremes.,fable_0559,The Gardener and His Master
0.8286,medium,"We should never put our trust in a wicked man, even if he seems to be completely innocuous.",fable_0405,The Hen And The Eggs,Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.8286,medium,One man's pleasure may be another's pain.,fable_0020,The Boys and the Frogs,Men would bear their misfortunes more patiently if they considered the ones of others.,fable_0638,"The monkey, donkey and mole"
0.8285,medium,Better to face a known danger than to trust a deceitful promise of safety.,fable_0582,The Wolf and the Sheep in the Sheepfold,A humble life free from danger is more valuable than a life of luxury filled with peril.,fable_0592,The Circus Dogs and the Street Dogs
0.8285,medium,Never put yourself in your enemy's clutches.,fable_0101,The Tortoise and the Birds,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher"
0.8285,medium,"Don't be seduced by deceptive words, they will cause nothing but trouble.",fable_0261,The Crane And The Crow,Do not attempt to hide things which cannot be hid.,fable_0526,The Goatherd And The Goat
0.8285,medium,Do not believe those who have ill intentions.,fable_0291,"The Fox, The Lamb And The Dog","We should never put our trust in a wicked man, even if he seems to be completely innocuous.",fable_0405,The Hen And The Eggs
0.8284,medium,"Beware of swindlers, as they often exploit the gullibility of others.",fable_0255,The Cobbler And The King,Even those who work hard may find their material wealth undone by the greed of others.,fable_0482,The Ants And The Pigs
0.8284,medium,"Do not fear death, as it is the final goodbye to all the troubles, pains, and dangers of life.",fable_0634,A Swan and a Stork,"Do not mock the feelings of old age, as no one can escape them if they go on living.",fable_0644,A Young Droll and a Crooked Old Man
0.8284,medium,"Beware of swindlers, as they often exploit the gullibility of others.",fable_0255,The Cobbler And The King,"The person who turns to a dishonest scoundrel for help in times of trouble will be ruined, not rescued.",fable_0538,The Doves And The Kite
